alpha,delta,u,g,r,i,z,redshift,label
0.6158855552743985,0.08241337140952838,0.8573349128748614,0.2928216460828324,-0.11820204567492205,-0.19131396775084739,-0.22838402206800593,-0.25716952688412664,0
-0.02171389072404101,-0.8513293949212509,-1.5256265887882114,-1.9695791564588327,-2.1752660280804155,-2.2237298558534566,-2.252596833538531,-0.6685612158726011,0
1.841203450980134,-1.2679197702069367,-0.8378524191859,-0.7519768616896084,-0.4562870512280265,-0.21751455136522818,-0.022495332534827085,-0.7894181551919127,2
-0.025234207540254804,-0.9135036547121702,1.3691886751115645,0.16586636449519726,-0.3041178262320068,-0.349177032739926,-0.3377646870683045,-0.28779109513449963,0
-0.46332283123634327,0.12020985340426804,0.7765790941440841,0.6468072287678365,0.3030831669326437,0.19643533771414906,0.12377181299606582,-0.1973687617891418,0
-0.2071678463528969,-0.38052149699248017,-0.8025731686769927,-0.2994515737339909,0.35635586198434804,0.8380312263961658,1.0472578692804648,-0.7891324380597059,2
-0.23981094070557843,-0.29978915397740347,0.3408694548386209,1.3209720499333006,1.211961668597369,1.5416999821177209,1.1371626536263204,0.28041261926005817,0
-1.2980683747592976,-1.2649225373269852,-1.8140910516976156,-1.843261545321951,-1.6811388887605947,-1.5328543538498594,-1.3643620080726042,-0.7893454944402317,2
-0.3373435413975551,-0.5348633123215933,0.32467737730137985,1.1605145438945583,0.9203407952501287,0.417315127572623,0.34333096379046774,0.1480571862207451,0
-0.43663624915328636,0.24905721369346598,0.16276104908017383,0.0081508413946924,0.4008054352469017,0.6699790455570501,0.9616364206857445,-0.7902691827410049,2
0.759433806794738,0.7838771365157194,-2.1450969630336187,-1.6112525095513945,-1.0013060432120027,-0.5596288993456286,-0.18428886287565438,-0.7896052139828712,2
0.32734994714986887,1.6611792677116688,-0.0804936746796587,0.6926753548062399,0.7761005295176188,0.5241245813912313,0.30811934109651234,0.41204145136309783,0
-0.23373035364833702,0.37163763528071003,2.1632408642098904,1.0986605101715057,1.023433425239469,1.4666064257385707,1.7077629536948682,0.6282636321683869,0
-0.05958418172701634,-1.27615494093008,0.5236740522694997,0.6266126961082157,0.19227165200810847,0.017398016349211932,-0.09667003314467218,-0.1849843286611676,0
1.8109600260380172,-1.1888261457929383,0.6344392473313131,1.1084855402704168,1.2004560592312994,1.2939259299988257,1.203613769955713,0.04262218077584734,0
-1.681536433211417,0.035603755544600574,0.9334568000500757,1.0788927261981576,1.003594867516978,0.7765212625202166,0.541943075019866,0.023906311602605784,0
-0.577725533179622,1.6433770720786232,1.4900533505598306,0.3553084450993251,-0.038449212213290514,-0.17181136319413695,-0.2029838976467983,-0.21716644379033312,0
0.085099719530054,0.9318751631101133,-0.772510426531496,-0.6318446539250314,-0.3483680982087249,-0.17414826420661794,-0.24487797677680764,2.557050494519218,1
-0.1977353581652162,-0.1982826811872246,-1.1469516636862946,-1.3852621018044835,-1.250955143066536,-1.1599452226976976,-0.9618699050532972,-0.7255345847922231,0
-1.656412330905109,-0.8766020937356265,0.26156785455186415,0.526846701509232,1.0443762198159117,1.3774800915034542,1.67194589252618,2.8593411610219075,1
-1.6175242420917904,0.3529437012417036,1.0908637169494575,0.2875780329147161,-0.07955914230779199,-0.23154164333065322,-0.24550039016204603,-0.17048219654024702,0
0.6092013724996355,1.1215447418387534,0.22173916836028637,0.6386744779420768,0.08219270397204868,-0.24842305234781958,-0.419238599195938,0.01833780654042551,0
0.47819993856727416,0.5182612024212241,0.6286446093112564,0.6574563252954132,0.3855561936198682,0.10694510648438599,-0.024832211881220072,0.004657281855559011,0
-1.8386378499587115,-1.2615160329949413,0.6480920015305246,1.3668548914436456,1.6329344629730849,1.4467740395304622,1.7695403113314747,0.34094464650487005,0
-0.32387791674141353,0.007693914842700029,1.540795345808367,1.3541799649455994,1.566809528245611,1.2574964293006181,2.89430919809829,0.5344387500235251,0
-0.06995964555462286,-0.2736716097271708,0.37998214968619964,0.4821214771248693,0.15458754942148245,0.017460561145166052,-0.07110015961840208,-0.08949306267094673,0
0.31058363337873107,1.1007175581141637,-0.7682278199211254,-1.0928558640329784,-1.3108963514118712,-1.353623712206519,-1.366280172959837,-0.5674863918423125,0
1.5912701824460644,-1.2245747539039131,0.9671839947884541,1.8044439753796986,1.782221899106348,1.8833822024169815,1.4532354872571025,0.3885058873755866,0
-0.6249097488266316,2.1386020398107677,0.18683792570380017,-0.3759818381389945,-0.7370756303640462,-1.070813202572038,-1.4054808996228165,-0.7891882231893245,2
0.6795801881403868,0.2543018265093125,-0.9047820448204728,-0.7486756908176321,-0.44684986601765514,-0.2335828780349849,-0.09428222906675965,-0.7897254483413484,2
